Name,link,store,price
2TB Sabrent Rocket 4 Plus NVMe 4.0 Gen4 SSD $357.19 AC@Newegg   1TB / $180 AC,https://slickdeals.net/f/15216166-2tb-sabrent-rocket-4-plus-nvme-4-0-gen4-ssd-357-19-ac-newegg-1tb-180-ac,Newegg,$357.19
Intel Core i7-9700K Coffee Lake 3.6GHz Eight-Core LGA 1151 Boxed Processor - Heatsink Not Included - Micro Center - $199.99,https://slickdeals.net/f/15216148-intel-core-i7-9700k-coffee-lake-3-6ghz-eight-core-lga-1151-boxed-processor-heatsink-not-included-micro-center-199-99,Micro Center,$199.99
34” Deco Gear 3440x1440 144Hz Curved Ultrawide VA Monitor $325 + free s/h at Deco Gear,https://slickdeals.net/f/15214987-34-deco-gear-3440x1440-144hz-curved-ultrawide-va-monitor-325-free-s-h-at-deco-gear,Deco Gear,$325
"Dell Inspiron 5515 Touch Laptop [AMD Ryzen 5 5500U, 16GB RAM, 1TB PCIe SSD] for $789.00 w/ Free Shipping",https://slickdeals.net/f/15215677-dell-inspiron-5515-touch-laptop-amd-ryzen-5-5500u-16gb-ram-1tb-pcie-ssd-for-789-00-w-free-shipping,Newegg,$789
"Eluktronics MANIX 2TB Ultra Performance Series PCIe NVMe 4.0 x 4 M.2 2280 SSD (Read/Write Speed up to 4,800MB/s and 3,600MB/s) for $229.99 w/ Free Shipping",https://slickdeals.net/f/15214819-eluktronics-manix-2tb-ultra-performance-series-pcie-nvme-4-0-x-4-m-2-2280-ssd-read-write-speed-up-to-4-800mb-s-and-3-600mb-s-for-229-99-w-free-shipping,Newegg,$229.99
AMD Ryzen 9 5950X Vermeer 3.4GHz 16-Core AM4 Boxed Processor - Microcenter BM - $719,https://slickdeals.net/f/15216016-amd-ryzen-9-5950x-vermeer-3-4ghz-16-core-am4-boxed-processor-microcenter-bm-719,Micro Center,$719.99
"Govee Smart Plug(4 Pack) Bluetooth & WiFi Outlet Works with Alexa Google Assistant, 15A 1800W with 24 Timer Schedule & Group Remote Controller- $16.99 + FS w/ Prime",https://slickdeals.net/f/15215719-govee-smart-plug-4-pack-bluetooth-wifi-outlet-works-with-alexa-google-assistant-15a-1800w-with-24-timer-schedule-group-remote-controller-16-99-fs-w-prime,Amazon,$16.99
Macbook Pro 16GB 1TB SSD Intel I5 Latest Model $1499 with Student Deals,https://slickdeals.net/f/15214699-macbook-pro-16gb-1tb-ssd-intel-i5-latest-model-1499-with-student-deals,Best Buy,"$1,499"
"YMMV ASUS C423 14"" Celeron 4GB/64GB Chromebook @walmart $59",https://slickdeals.net/f/15213964-ymmv-asus-c423-14-celeron-4gb-64gb-chromebook-walmart-59,Walmart,$59
Neewer NL-288 LED Panel Desktop Kit - $144.89 + Free Shipping,https://slickdeals.net/f/15215038-neewer-nl-288-led-panel-desktop-kit-144-89-free-shipping,Amazon,$144.89
